Gene,ASGr13,ASGr14,ASGr15,ASGr16,AVGr43,AVGr44,AVGr45,AWBr50,AWBr51,AWBr52,AWBr53,AWBr54,AWAr17,AWAr18,AWAr19,AWAr20,AVEr40,AVEr41,AVEr42,PVDr62,PVDr63,VDr77,VDr78,VDr79,VDr81,DDr83,DDr84,DDr85,DDr86
WBGene00000001,104,60,67,45,34,19,25,29,23,15,36,22,112,58,90,91,88,27,67,37,23,202,90,171,131,80,147,82,145
WBGene00000002,16,16,14,11,17,7,5,6,14,12,19,13,2,7,16,74,16,21,32,20,2,110,51,79,85,20,43,25,53
WBGene00000003,11,6,12,9,43,17,60,22,9,11,14,16,70,88,72,39,22,15,20,15,17,105,25,78,61,28,40,35,58
WBGene00000004,262,173,197,126,33,14,23,46,16,18,29,28,90,94,81,58,52,33,37,40,31,1589,683,819,1208,1023,2002,784,3656
WBGene00000005,0,1,3,7,4,1,0,0,4,0,3,3,0,0,0,9,0,0,2,1,0,36,3,34,22,6,13,6,29
WBGene00000006,73,69,80,35,99,50,54,82,26,35,63,41,124,143,132,80,99,88,146,34,20,232,95,189,167,66,269,97,352
WBGene00000007,3,10,6,8,4,2,0,0,1,3,3,0,0,4,1,50,2,5,1,6,0,72,7,94,52,13,39,9,47
WBGene00000008,0,2,8,3,2,0,0,0,4,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,2,0,2,0,0
WBGene00000009,2,0,5,0,0,0,0,3,0,2,1,3,1,1,1,5,5,4,1,0,1,4,2,2,8,0,3,0,0
WBGene00000010,92,61,61,54,33,18,18,52,22,13,47,26,77,102,92,81,40,41,52,30,8,225,61,196,129,37,205,126,117
WBGene00000012,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000013,2,2,0,1,7,0,0,0,3,0,7,1,0,0,1,11,0,0,0,3,0,2,0,1,3,0,1,2,1
WBGene00000014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000015,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,2,0,0,0,3
WBGene00000016,9,1,4,0,18,1,0,2,29,8,4,4,2,1,8,21,4,0,1,6,1,21,19,22,27,4,15,21,15
WBGene00000017,8,6,1,0,10,0,0,15,9,16,20,9,1,10,24,17,8,3,16,19,2,115,15,63,88,18,68,27,52
WBGene00000018,64,67,148,50,78,42,97,60,72,19,33,38,86,84,127,165,65,42,125,67,31,452,234,520,483,246,281,211,368
WBGene00000019,1,1,2,2,12,1,0,49,6,6,45,31,0,4,4,38,0,1,2,4,1,59,3,130,23,0,57,13,18
WBGene00000020,270,297,242,199,337,188,205,445,112,93,531,282,300,309,389,259,117,108,172,129,141,850,269,604,542,313,627,269,668
WBGene00000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
WBGene00000022,24,8,94,59,71,30,6,30,163,16,22,23,11,28,23,320,32,27,36,43,2,365,156,444,270,43,212,87,220
WBGene00000023,3,2,3,2,16,0,0,6,2,6,19,14,1,7,5,52,8,1,18,7,0,68,3,111,25,0,97,31,24
WBGene00000024,7,5,45,2,20,1,0,1,10,2,2,0,3,9,7,147,2,6,5,0,0,70,36,177,39,515,96,5,41
WBGene00000025,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,1,2,0,1,0,1,0
WBGene00000026,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000027,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,0,2,0,6,0,0,2
WBGene00000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000029,16,4,35,1,10,0,0,2,11,4,4,0,1,8,10,105,6,9,4,6,0,100,12,140,54,11,68,4,44
WBGene00000030,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,5,1,4,7,4,5,1,3
WBGene00000031,37,20,85,6,86,11,1,6,86,10,13,4,3,45,30,357,34,47,74,26,3,355,152,430,286,1690,299,133,186
WBGene00000032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
WBGene00000033,37,6,34,6,52,13,0,5,27,17,9,6,3,27,22,159,19,23,20,6,5,152,56,201,90,455,137,44,93
WBGene00000034,32,7,35,9,32,3,4,0,31,13,4,4,4,23,20,217,8,10,12,4,4,122,58,163,91,2074,92,39,90
WBGene00000035,2,2,19,2,4,4,5,11,21,7,9,8,1,6,6,41,0,3,6,20,15,64,55,74,67,62,39,22,45
WBGene00000036,10,9,50,36,65,6,11,39,29,29,51,27,14,40,66,101,49,68,155,17,8,672,197,345,357,118,274,108,248
WBGene00000037,99,67,30,50,33,26,28,20,5,12,26,19,22,25,43,24,85,58,138,6,11,130,35,104,120,46,119,53,71
WBGene00000038,7,5,3,0,11,1,2,4,2,3,5,5,1,4,9,8,37,39,64,0,0,23,5,17,23,7,27,13,10
WBGene00000039,46,43,49,107,68,83,25,35,211,71,102,128,10,22,113,156,77,43,77,92,18,1284,707,1241,841,173,604,137,504
WBGene00000040,130,167,494,257,126,57,48,89,237,102,123,90,78,141,258,290,90,82,117,107,55,1328,392,1257,1319,114,646,268,1075
WBGene00000041,798,657,1478,661,466,333,259,613,730,377,685,445,722,723,1318,2189,375,261,571,495,197,4026,1836,3970,3814,1312,2489,1569,3781
WBGene00000042,1,4,1,4,24,42,54,4,4,4,14,7,17,28,38,26,9,9,14,3,3,93,34,40,60,32,39,21,18
WBGene00000043,0,0,1,0,2,0,1,3,2,1,1,1,1,3,8,11,41,30,73,3,0,7,1,7,12,2,9,2,4
WBGene00000044,21,8,17,12,310,356,513,4,2,3,5,1,5,0,5,4,4,4,12,44,51,55,19,42,26,2,15,2,15
WBGene00000045,1,0,5,1,2,0,1,4,0,1,0,1,3,4,1,4,78,33,122,0,0,6,1,5,9,0,7,0,8
WBGene00000046,0,0,0,0,1,0,0,2,1,1,1,0,0,3,0,3,1,0,2,0,0,5,7,2,6,15,4,3,2
WBGene00000047,3,0,10,1,4,0,0,2,4,0,2,1,4,11,20,6,0,2,5,20,33,22,24,36,28,21,24,17,20
WBGene00000048,4,1,1,0,3,3,0,7,0,0,10,4,2,5,6,2,2,5,23,2,0,367,181,201,375,225,269,123,602
WBGene00000049,12,6,5,2,24,28,16,5,0,0,8,1,6,6,3,3,0,5,6,1,0,13,12,9,12,7,22,5,16
WBGene00000050,0,0,3,2,2,0,0,0,3,1,0,0,0,1,0,1,1,0,3,0,0,12,1,11,6,6,6,4,7
WBGene00000051,6,4,16,3,106,79,112,18,4,7,8,9,10,12,29,13,195,90,124,24,27,611,171,331,415,214,463,170,782
WBGene00000053,3,0,7,0,2,0,0,1,3,3,2,4,0,3,3,3,8,1,14,4,1,204,146,118,222,262,242,72,332
WBGene00000054,20,8,21,13,177,128,214,10,5,7,12,9,2,5,24,25,106,41,118,7,4,33,21,56,47,19,34,6,20
WBGene00000055,7,6,15,7,8,0,1,13,6,5,12,12,4,2,25,16,112,77,64,2,2,27,22,55,57,12,19,3,25
WBGene00000056,44,54,53,55,8,2,0,6,2,1,1,0,5,8,2,4,11,8,23,110,88,22,13,9,15,5,18,6,7
WBGene00000057,9,2,16,6,12,1,0,2,1,2,7,5,10,5,16,10,11,7,52,4,1,34,15,34,21,26,28,5,31
WBGene00000058,1,1,2,5,5,3,0,6,6,4,6,1,18,10,26,12,3,2,8,6,3,66,45,32,40,21,14,13,17
WBGene00000059,2,0,5,0,245,205,252,3,1,7,6,4,7,7,13,6,8,5,36,7,3,29,15,42,30,8,31,7,22
WBGene00000060,3,4,1,1,13,1,0,6,0,3,8,7,16,10,23,16,11,10,33,5,2,35,10,25,34,11,16,9,8
WBGene00000061,2,1,1,0,1,1,0,0,3,0,0,1,46,35,28,8,0,0,5,1,0,4,3,5,6,7,0,2,5
WBGene00000062,1,0,3,4,4,2,1,8,4,3,7,8,0,1,4,1,2,6,3,0,1,121,52,91,60,25,73,23,117
WBGene00000063,556,457,3429,1054,474,217,124,391,819,229,493,145,1203,1572,1399,2302,516,672,664,508,130,5972,3572,5964,2910,2223,4031,1903,3356
WBGene00000064,1175,1209,1125,1045,1161,889,856,552,256,259,654,266,3738,3871,3794,1624,853,727,978,433,329,4529,1049,3763,2619,867,3069,1507,4747
WBGene00000065,984,978,3515,1083,629,268,170,455,1017,295,589,241,2391,2196,2215,3379,453,677,674,653,187,6013,3833,5967,3154,2275,3874,1976,4183
WBGene00000066,4554,3163,8771,3347,4932,2391,2107,1810,3534,1518,2619,1327,3579,3886,5117,6319,4243,4227,4976,6256,7385,18198,13453,18890,13601,6808,14120,6254,15897
WBGene00000067,199,123,5133,2522,320,176,49,119,650,198,169,157,8,332,316,1333,191,190,292,251,40,6382,1205,4808,5002,394,2546,868,4918
WBGene00000068,275,135,250,133,181,208,329,198,45,54,86,65,156,238,291,215,70,61,137,451,266,800,338,691,771,230,512,266,388
WBGene00000069,7,3,9,1,11,1,16,135,5,16,42,64,5,16,29,30,56,23,105,4,6,76,37,81,54,25,47,18,25
WBGene00000070,12,15,69,23,80,93,131,23,60,18,27,28,6,15,36,86,16,16,37,40,8,751,436,570,674,259,494,244,591
WBGene00000071,181,90,129,55,27,2,9,33,9,2,12,14,2,12,23,34,4,12,16,26,13,833,322,577,668,515,627,382,698
WBGene00000072,6,10,29,10,16,10,26,54,26,10,36,22,7,10,30,41,57,29,115,44,36,290,113,225,287,184,293,138,344
