Your Input,Public Name
WBGene00010046,F54D1.1
WBGene00045401,eol-1
WBGene00006423,asd-2
WBGene00016260,rege-1
WBGene00020189,tfbm-1
WBGene00002957,let-858
WBGene00022771,ZK616.1
WBGene00008397,D2005.1
WBGene00006321,sup-12
WBGene00007297,vsra-1
WBGene00019347,mbl-1
WBGene00003229,mex-3
WBGene00010822,M01G12.9
WBGene00022250,Y73B6BL.29
WBGene00007396,rnp-9
WBGene00271694,T10E9.14
WBGene00006807,unc-75
WBGene00020707,wago-10
WBGene00009509,F37D6.3
WBGene00010825,M01G12.14
WBGene00001484,fox-1
WBGene00002063,ife-5
WBGene00018405,F44A2.5
WBGene00016113,eif-2D
WBGene00000120,aly-1
WBGene00003172,mec-8
WBGene00012478,mxt-1
WBGene00004405,rop-1
WBGene00001368,exc-7
WBGene00013899,ZC443.4
WBGene00016740,C48B6.2
WBGene00014208,znfx-1
WBGene00021816,Y53G8AR.9
WBGene00003978,pes-4
WBGene00002062,ife-4
WBGene00004241,puf-5
WBGene00011687,cwc-15
WBGene00004945,sop-2
WBGene00011109,gpch-1
WBGene00000411,cdl-1
WBGene00019779,endu-2
WBGene00003784,nos-2
WBGene00016977,akap-1
WBGene00021365,smgl-2
WBGene00003082,lsm-8
WBGene00019666,sago-1
WBGene00007624,hrde-1
WBGene00017025,D1037.1
WBGene00004207,ptb-1
WBGene00001016,dna-2
WBGene00003865,oma-2
WBGene00001601,glh-4
WBGene00015349,henn-1
WBGene00001599,glh-2
WBGene00003783,nos-1
WBGene00004509,rrf-2
WBGene00010734,parn-1
WBGene00001214,ego-1
WBGene00004239,puf-3
WBGene00004751,sea-2
WBGene00010231,F58B3.4
WBGene00000196,aars-1
WBGene00019510,nucl-1
WBGene00022257,puf-11
WBGene00011908,pash-1
WBGene00010263,wago-4
WBGene00004510,rrf-3
WBGene00004984,spn-4
WBGene00013307,Y57G11C.9
WBGene00008561,F07H5.10
WBGene00008099,C44H9.4
WBGene00021929,dcap-1
WBGene00011945,alg-5
WBGene00012960,Y47H10A.4
WBGene00000939,dcr-1
WBGene00003389,mog-1
WBGene00015581,sap-140
WBGene00003994,pgl-3
WBGene00017313,cpsf-2
WBGene00004315,rbd-1
WBGene00016566,eri-7
WBGene00015557,hrpk-2
WBGene00011156,rbm-3.2
WBGene00022765,ZK546.14
WBGene00013898,ZC443.3
WBGene00003230,mex-5
WBGene00011279,asd-1
WBGene00015486,popl-1
WBGene00195093,Y59E9AL.36
WBGene00003228,mex-1
WBGene00017132,tofu-6
