Gene > WormBase Gene ID,Gene > Gene Name,Gene > Sequence Name,Gene > Brief Description,Gene > Chromosome Location > Feature . Primary Identifier,Gene > Chromosome Location > Start,Gene > Chromosome Location > End,Gene > Chromosome Location > Strand,Gene > Organism
WBGene00000120,aly-1,C01F6.5,"aly-1 encodes an RRM motif-containing protein required for normal export  of TRA-1/tra-2 mRNA complexes, and thus for normal hermaphroditism;  ALY-1 is orthologous to human THOC4 (OMIM:604171), and paralogous to  ALY-2 and ALY-3; in the absence of TRA-1, and in conjunction with NXF-2,  ALY-1 and its paralog ALY-2 are required to bind the TRE 3' UTR element  of tra-2 mRNA, and block tra-2 mRNA's export from the nucleus; ALY-1 and  NXF-2 bind the TRE element in vitro; ALY-1 is also bound competitively  by either NXF-2 or TRA-1 in vitro; aly-1(RNAi) animals have abnormal  female (as opposed to hermaphrodite)  sexual phenotypes; by orthology,  ALY-1 is thought to promote recruitment of mRNA export factor to mRNAs.",WBGene00000120,9108931,9109751,1,Caenorhabditis elegans
WBGene00000122,aly-3,M18.7,"aly-3 encodes an RRM motif-containing protein orthologous to human THOC4  (OMIM:604171), and paralogous to ALY-1 and ALY-2; by orthology, ALY-3 is  thought to promote recruitment of mRNA export factor to mRNAs; however,  ALY-3 has no grossly obvious function in four-way RNAi assays of  ALY-1/-3 and W04D2.6, and aly-3(RNAi) had no obvious effect on nuclear  retention of tra-2 mRNA in the absence of TRA-1.",WBGene00000122,12123155,12124810,1,Caenorhabditis elegans
WBGene00000246,bcc-1,M7.3,"bcc-1 encodes a homolog of Drosophila and vertebrate Bicaudal C (BICC) that contains KH RNA-binding domains, a serine-rich region, and a SAM (sterile alpha motif) domain; by homology, BCC-1 is predicted to function as a cytoplasmic RNA-binding protein that is required for translational regulation and/or mRNA stability during embryonic or germline development; however, as loss of bcc-1 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of BCC-1 in C. elegans development and/or behavior is not yet known.",WBGene00000246,11086090,11092552,-1,Caenorhabditis elegans
WBGene00000411,cdl-1,R06F6.1,"cdl-1 encodes a homolog of human hairpin (stem-loop) binding proteins (HBP/SLBP) that bind to the hairpin (stem-loop) structure in the 3' untranslated region (3' UTR) of histone mRNAs, and thus promote histone pre-mRNA processing and translation of mature histone mRNA; CDL-1 is required for normally high levels of histone gene expression, normal cell division during late larval development, embryonic viability, normal vulval morphogenesis, normally rapid apoptosis, and fertility; CDL-1 binds to the stem-loop structure in the 3' UTR of core-histone mRNA; the cdl-1 promoter is most active in dividing cells during embryogenesis and postembryonic development; both CDL-1 and human HBP contain a minimal RNA-binding domain (RBD) of roughly 73 amino acids that has no similarity with other known RNA-binding motifs.",WBGene00000411,10785452,10787265,1,Caenorhabditis elegans
WBGene00000472,cey-1,F33A8.3,"cey-1 encodes a protein with a cold-shock/Y-box domain that is expressed in early embryonic blastomeres (at the 15-cell stage, i.e., pre-gastrulation), but is normally repressed in early germline blastomeres by PIE-1.",WBGene00000472,11039449,11041206,-1,Caenorhabditis elegans
WBGene00000473,cey-2,F46F11.2,"cey-2 encodes a cold-shock/Y-box domain-containing protein; by homology, CEY-2 is predicted to function as either an RNA-binding protein involved in translation or RNA processing, or a DNA-binding protein involved in transcriptional regulation; cey-2 mRNA is expressed maternally in the early embryo, in a pattern characteristic of class II maternal RNAs, which are initially detected throughout the embryo but restricted to the P, or germline, lineage as cell division progresses; CEY-2 associates with CGH-1 and CEY-3/4 in cytoplasmic particles of the gonad and early embryo; as loss of cey-2 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of cey-2 in C. elegans development and/or behavior is not yet known.",WBGene00000473,5619569,5620668,1,Caenorhabditis elegans
WBGene00000474,cey-3,M01E11.5,"cey-3 encodes a protein with a cold-shock/Y-box domain; CEY-3 associates with CGH-1, CEY-2, and CEY-4 in cytoplasmic particles of the gonad and early embryo.",WBGene00000474,5571784,5572973,-1,Caenorhabditis elegans
WBGene00000475,cey-4,Y39A1C.3,cey-4 encodes a Y box-containing protein with no known function in vivo; CEY-4 associates with CGH-1 and CEY-2/3 in cytoplasmic particles of the gonad and early embryo.,WBGene00000475,10866946,10868727,-1,Caenorhabditis elegans
WBGene00000770,cpb-1,C40H1.1,"cpb-1 encodes a cytoplasmic polyadenylation element binding (CPEB) protein homolog involved in two steps of spermatogenesis; two CPEB proteins have distinct functions in spermatogenesis, with FOG-1 specifying sperm cell fate, and CPB-1 conversely executing that decision, being required for progression through meiosis; cpb-1(RNAi) spermatocytes fail to undergo meiotic cell divisions; CPB-1 protein is present in the  germ line just prior to overt spermatogenesis, but once sperm differentiation begins, CPB-1 disappears; CPB-1 physically interacts with EBF, which, like CPEB, regulates genes by binding the 3' UTRs of mRNAs; while CPB-1 is required for spermatogenesis, it is dispensable for oogenesis; this is in contrast to CPEBs in vertebrates (Xenopus), arthropods (Drosophila), and molluscs (Spisula), which all participate in oogenesis.",WBGene00000770,9322316,9324733,1,Caenorhabditis elegans
WBGene00000771,cpb-2,C30B5.3,"cpb-2 encodes a cytoplasmic polyadenylation element binding (CPEB) protein homolog, expressed specifically in the spermatogenic germ line; CPB-2 is dispensable for oogenesis, in contrast to CPEBs in vertebrates (Xenopus), arthropods (Drosophila), and molluscs (Spisula), which all participate in oogenesis.",WBGene00000771,6192833,6195204,1,Caenorhabditis elegans
WBGene00000772,cpb-3,B0414.5,"cpb-3 encodes a CPEB orthologous to Drosophila ORB, zebrafish ZORBA, and human CPEB1, and paralogous to FOG-1 and CPB-1/2; CPB-3 inhibits physiological apoptosis in oocytes, keeping it down to a normal level of ~50% in hermaphrodite gonads; independently of apoptosis, CPB-3 is also required for normal oogenesis, sperm/oocyte switching (upstream of FEM-3), and the transistion from mitosis to meiosis by oocytes (in parallel with GLD-3); cpb-3(RNAi) results in elevated (though not 100%) physiological germ cell apoptosis, independent of CEP-1; in cpb-3(RNAi) animals, excess physiological apoptosis actually promotes fertility, since cpb-3(RNAi) hermaphrodites have larger brood sizes than those with apoptosis suppressed by ced-3(n717), and aging ced-3(n717);cpb-3(RNAi) animals have abnormal oocytes that fail to exit pachytene and proceed through diakinesis; CPB-3 is mainly cytoplasmic, and strongly expressed in pachytene oocytes; cpb-3(bt17);daz-1(tj3) hermaphrodites have a synthetic phenotype of total sterility and masculinization; CPB-3 colocalizes with DAZ-1 in vivo, coimmunoprecipitates with DAZ-1, and binds DAZ-1 in two-hybrid assays.",WBGene00000772,5788631,5791752,-1,Caenorhabditis elegans
WBGene00000774,cpf-2,F56A8.6,,WBGene00000774,13266940,13268897,-1,Caenorhabditis elegans
WBGene00000889,cyn-13,Y116A8C.34,"cyn-13 encodes a predicted cyclophilin that can function as a nuclease in vitro; functions to regulate DNA degradation and cell death in a genetic pathway with wah-1, cps-6, crn-1, crn-4, crn-5 and these proteins are believed to form a complex in vivo.",WBGene00000889,17111082,17116666,-1,Caenorhabditis elegans
WBGene00000890,sig-7,F39H2.2,"sig-7 encodes a predicted cyclophilin; loss of sig-7 activity via large-scale RNAi screens results in embryonic and larval lethality as well as reduced brood sizes, suggesting that SIG-7 plays an essential role during C. elegans development.",WBGene00000890,8646451,8651781,1,Caenorhabditis elegans
WBGene00000935,daz-1,F56D1.7,"daz-1 encodes a protein containing an RNA recognition motif that is required for the progression of meiosis during oogenesis; DAZ-1 is expressed in the germline, and expression levels peak in the proximal pachytene region; cpb-3(bt17);daz-1(tj3) hermaphrodites have a synthetic phenotype of total sterility and masculinization; DAZ-1 colocalizes with CPB-3 in vivo, coimmunoprecipitates with CPB-3, and binds CPB-3 in two-hybrid assays.",WBGene00000935,5456305,5458616,1,Caenorhabditis elegans
WBGene00001230,eif-3.G,F22B5.2,"eif-3.G encodes a homolog of eukaryotic translation initiation factor 3, subunit 4 that affects embryonic viability, fertility, and growth.",WBGene00001230,8442765,8444239,1,Caenorhabditis elegans
